first_name,last_name,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,les
Tim,Kaine,0,0,0,0,0,16,4,3,0,0,0,0,0,0,0.305
Mark,Warner,0,0,0,0,0,22,4,1,0,0,1,0,0,0,0.266
Patrick,Leahy,0,0,0,0,0,25,4,2,2,1,1,0,0,0,0.719
Bernard,Sanders,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0.191
Maria,Cantwell,0,0,0,0,0,39,16,9,1,1,0,0,0,0,1.26
Patty,Murray,0,0,0,0,0,42,8,3,1,0,0,0,0,0,0.66
Tammy,Baldwin,0,0,0,0,0,43,4,3,2,0,0,0,0,0,0.668
Ron,Johnson,2,1,1,1,1,35,17,15,4,4,2,1,1,1,3.181
Shelley Moore,Capito,0,0,0,0,0,15,4,2,0,0,0,0,0,0,0.262
Joe,Manchin,0,0,0,0,0,18,5,1,0,0,0,0,0,0,0.267
John,Barrasso,0,0,0,0,0,35,26,14,3,0,0,0,0,0,1.698
Michael,Enzi,0,0,0,0,0,22,5,2,0,0,0,0,0,0,0.327
