thomas_name,first_name,last_name,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,les
,Richard,Shelby,1,1,1,0,0,4,0,2,0,0,0,0,0,0,0.235
,John,Boozman,0,0,0,0,0,15,6,4,0,0,2,1,1,1,0.461
,Tom,Cotton,0,0,0,0,0,19,1,1,1,1,0,0,0,0,0.465
,Jeff,Flake,0,0,0,0,0,50,16,5,1,0,0,0,0,0,0.983
,John,McCain,2,1,2,1,1,35,8,5,1,0,0,0,0,0,1.506
,Barbara,Boxer,0,0,0,0,0,47,8,4,1,1,0,0,0,0,0.915
,Diane,Feinstein,0,0,0,0,0,42,12,5,4,3,0,0,0,0,1.73
,Michael,Bennet,0,0,0,0,0,26,5,2,0,0,0,0,0,0,0.35
,Cory,Gardner,0,0,0,0,0,31,12,9,3,3,2,0,1,1,1.77
,Richard,Blumenthal,0,0,0,0,0,60,7,1,0,0,0,0,0,0,0.557
,Christopher,Murphy,0,0,0,0,0,29,1,1,0,0,0,0,0,0,0.228
,Eleanor,Norton,0,0,0,0,0,48,4,4,2,1,0,0,0,0,2.122
,Thomas,Carper,0,0,0,0,0,29,16,15,5,4,0,0,0,0,2.415
,Christopher,Coons,1,1,0,0,0,27,5,0,0,0,0,0,0,0,0.343
,Bill,Nelson,0,0,0,0,0,37,4,3,1,1,0,0,0,0,0.719
,Marco,Rubio,0,0,0,0,0,53,9,7,2,2,0,0,0,0,1.381
,Johnny,Isakson,0,0,0,0,0,27,9,8,3,1,1,0,0,0,1.187
,David,Perdue,0,0,0,0,0,12,2,1,1,0,0,0,0,0,0.261
,Mazie,Hirono,0,0,0,0,0,38,8,1,1,1,2,1,1,1,0.826
,Brian,Schatz,0,0,0,0,0,29,6,4,2,1,0,0,0,0,0.866
,Joni,Ernst,0,0,0,0,0,13,6,6,2,1,1,0,0,0,0.851
,Chuck,Grassley,2,2,2,0,0,70,17,15,7,2,0,0,0,0,2.778
,Mike,Crapo,0,0,0,0,0,26,5,3,0,0,1,0,0,0,0.389
,James,Risch,0,0,0,0,0,15,9,5,0,0,0,0,0,0,0.501
,Richard,Durbin,0,0,0,0,0,47,1,1,0,0,2,1,1,1,0.366
,Mark,Kirk,0,0,0,0,0,66,9,7,2,1,1,0,0,0,1.267
,Daniel,Coats,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0.074
,Joe,Donnelly,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0.074
,Jerry,Moran,0,0,0,0,0,39,15,8,3,1,0,0,0,0,1.407
,Pat,Roberts,0,0,0,0,0,28,0,4,0,0,0,0,0,0,0.309
,Mitch,McConnell,0,0,0,0,0,8,1,3,1,1,0,0,0,0,0.478
,Rand,Paul,0,0,0,0,0,54,2,2,0,0,0,0,0,0,0.433
,Bill,Cassidy,1,0,0,0,0,37,7,3,1,0,1,1,1,1,0.69
,David,Vitter,1,0,1,0,0,122,19,14,2,2,0,0,0,0,2.376
,Edward,Markey,0,0,0,0,0,56,10,2,0,0,5,0,0,0,0.654
,Elizabeth,Warren,0,0,0,0,0,26,1,1,1,0,0,0,0,0,0.316
,Benjamin,Cardin,0,0,0,0,0,54,12,11,6,2,1,0,0,0,2.033
,Barbara,Mikulski,0,0,0,0,0,12,2,1,0,0,0,0,0,0,0.157
,Susan,Collins,0,0,0,0,0,33,4,5,2,1,0,0,0,0,0.876
,Angus,King,0,0,0,0,0,24,7,1,0,0,0,0,0,0,0.352
,Gary,Peters,0,0,0,0,0,23,5,3,1,1,2,0,1,1,0.733
,Debbie,Stabenow,0,0,0,0,0,27,2,1,0,0,1,0,0,0,0.243
,Al,Franken,0,0,0,0,0,40,10,3,2,1,0,0,0,0,0.993
,Amy,Klobuchar,0,0,0,0,0,54,10,6,1,1,1,1,1,1,1.153
,Roy,Blunt,0,0,0,0,0,34,8,10,4,2,1,1,1,1,1.642
,Claire,McCaskill,0,0,0,0,0,19,3,1,1,1,1,0,0,0,0.518
,Thad,Cochran,0,0,0,0,0,12,2,3,0,0,0,0,0,0,0.23
,Roger,Wicker,1,1,1,1,1,18,6,8,5,2,1,1,1,0,2.197
,Steve,Daines,0,0,0,0,0,33,6,3,0,0,0,0,0,0,0.453
,Jon,Tester,0,0,0,0,0,56,23,7,3,1,1,1,1,1,1.742
,Richard,Burr,1,0,1,1,0,32,12,10,3,2,0,0,0,0,1.85
,Thom,Tillis,0,0,0,0,0,7,0,1,1,1,0,0,0,0,0.472
,Heidi,Heitkamp,0,0,0,0,0,29,8,4,3,3,0,0,0,0,1.402
,John,Hoeven,1,0,1,1,0,20,7,5,2,1,0,0,0,0,1.402
,Deb,Fischer,0,0,0,0,0,33,11,9,5,3,0,0,0,0,1.897
,Benjamin,Sasse,0,0,0,0,0,9,2,2,0,0,0,0,0,0,0.177
,Kelly,Ayotte,0,0,0,0,0,39,4,4,1,1,0,0,0,0,0.768
,Jeanne,Shaheen,0,0,0,0,0,67,18,9,0,0,0,0,0,0,0.768
,Cory,Booker,0,0,0,0,0,35,6,4,2,1,2,1,1,1,0.974
,Robert,Menendez,0,0,0,0,0,51,3,2,1,0,3,0,0,0,0.55
,Martin,Heinrich,0,0,0,0,0,26,8,1,0,0,0,0,0,0,0.389
,Tom,Udall,1,1,1,0,0,42,11,5,2,2,1,0,0,0,1.433
,Dean,Heller,1,0,0,0,0,54,20,7,4,0,0,0,0,0,1.508
,Harry,Reid,0,0,0,0,0,15,3,1,1,0,2,0,0,0,0.306
,Kirsten,Gillibrand,0,0,0,0,0,34,3,1,0,0,3,1,1,1,0.344
,Charles,Schumer,0,0,0,0,0,47,1,2,2,1,4,0,0,0,0.772
,Sherrod,Brown,1,0,0,0,0,55,6,2,0,0,2,0,0,0,0.554
,Rob,Portman,0,0,0,0,0,56,6,8,3,3,3,1,1,1,1.729
,James,Inhofe,0,0,0,0,0,33,8,8,5,0,1,1,1,1,1.287
,James,Lankford,0,0,0,0,0,18,7,7,1,0,0,0,0,0,0.647
,Jeff,Merkley,0,0,0,0,0,29,3,0,0,0,0,0,0,0,0.241
,Ron,Wyden,0,0,0,0,0,70,19,8,5,5,2,0,0,0,2.656
,Robert,Casey,0,0,0,0,0,59,6,5,4,2,0,0,0,0,1.474
,Pat,Toomey,0,0,0,0,0,34,7,5,3,1,1,1,0,0,1.069
,Jack,Reed,0,0,0,0,0,35,1,0,0,0,1,0,0,0,0.226
,Sheldon,Whitehouse,1,1,1,1,1,33,2,2,2,2,1,0,0,0,1.63
,Lindsey,Graham,1,1,1,0,0,14,5,2,0,0,1,0,0,0,0.42
,Tim,Scott,0,0,0,0,0,15,3,1,1,0,0,0,0,0,0.42
,Mike,Rounds,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0.182
,John,Thune,0,0,0,0,0,58,27,23,8,3,0,0,0,0,3.284
,Ted,Cruz,1,0,1,0,0,32,4,3,3,0,0,0,0,0,0.796
,John,Cornyn,0,0,0,0,0,43,14,10,8,7,1,0,0,0,3.142
,Lamar,Alexander,1,0,1,1,1,30,15,12,4,2,1,0,0,0,2.475
,Bob,Corker,0,0,0,0,0,14,6,9,4,4,0,0,0,0,1.747
,Orrin,Hatch,0,0,0,0,0,100,15,36,5,3,0,0,0,0,3.389
,Mike,Lee,1,1,0,0,0,35,3,1,0,0,0,0,0,0,0.375
,Tim,Kaine,0,0,0,0,0,16,4,3,0,0,0,0,0,0,0.305
,Mark,Warner,0,0,0,0,0,22,4,1,0,0,1,0,0,0,0.266
,Patrick,Leahy,0,0,0,0,0,25,4,2,2,1,1,0,0,0,0.719
,Bernard,Sanders,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0.191
,Maria,Cantwell,0,0,0,0,0,39,16,9,1,1,0,0,0,0,1.26
,Patty,Murray,0,0,0,0,0,42,8,3,1,0,0,0,0,0,0.66
,Tammy,Baldwin,0,0,0,0,0,43,4,3,2,0,0,0,0,0,0.668
,Ron,Johnson,2,1,1,1,1,35,17,15,4,4,2,1,1,1,3.181
,Shelley Moore,Capito,0,0,0,0,0,15,4,2,0,0,0,0,0,0,0.262
,Joe,Manchin,0,0,0,0,0,18,5,1,0,0,0,0,0,0,0.267
,John,Barrasso,0,0,0,0,0,35,26,14,3,0,0,0,0,0,1.698
,Michael,Enzi,0,0,0,0,0,22,5,2,0,0,0,0,0,0,0.327
